Age,Gender,High_School_GPA,University_Ranking,University_GPA,Field_of_Study,Internships_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Work_Life_Balance
29,Female,2.89,266,2.76,Engineering,1,2,3,6,5,44400.0,1,3,9
29,Female,2.34,308,3.2,Mathematics,2,5,7,2,2,44900.0,5,4,10
29,Female,3.75,459,3.26,Arts,0,4,10,6,0,35500.0,10,3,8
29,Female,3.41,185,2.95,Mathematics,1,5,3,7,2,68800.0,5,5,4
21,Other,2.17,334,2.25,Engineering,4,2,5,3,1,53900.0,10,2,4
28,Female,3.3,515,2.34,Law,2,2,6,4,2,25000.0,9,5,5
27,Female,3.31,441,3.7,Mathematics,1,3,9,2,2,31400.0,9,4,1
24,Male,3.91,673,3.74,Engineering,0,2,3,7,3,40300.0,1,2,7
29,Male,2.01,391,3.35,Mathematics,0,2,6,9,5,59500.0,3,1,4
26,Female,2.5,772,3.33,Computer Science,4,1,2,5,2,67900.0,4,3,1
24,Male,3.86,935,3.2,Arts,3,2,9,5,0,48000.0,1,2,4
18,Female,3.86,560,2.41,Business,4,3,9,9,4,73800.0,9,3,4
18,Female,3.44,254,2.86,Arts,2,3,7,8,0,61600.0,2,2,1
26,Female,3.53,586,3.39,Computer Science,4,4,9,1,3,82200.0,5,4,9
28,Male,2.18,335,3.07,Arts,2,5,4,2,0,41600.0,3,5,8
26,Male,3.03,400,2.04,Arts,3,1,10,7,1,43900.0,4,4,9
21,Male,2.46,166,3.91,Business,4,0,1,3,4,53200.0,4,1,7
26,Male,2.36,260,3.69,Computer Science,0,4,1,6,4,38900.0,2,4,5
20,Male,3.62,4,2.52,Arts,2,2,2,1,5,61700.0,2,2,7
24,Female,2.27,888,3.23,Law,2,5,10,8,3,31500.0,8,1,2
23,Female,2.94,119,3.85,Mathematics,0,1,3,2,5,27800.0,2,2,10
25,Female,3.88,996,2.19,Arts,4,4,2,1,4,49200.0,10,5,7
28,Female,2.37,923,3.01,Medicine,3,3,4,2,2,72200.0,7,3,4
26,Male,3.96,470,2.91,Arts,1,1,8,8,3,57400.0,1,5,5
22,Female,3.99,470,2.82,Business,4,1,3,10,5,62200.0,1,5,7
18,Female,3.11,785,3.67,Medicine,4,2,4,5,1,75000.0,10,5,2
20,Male,2.34,493,2.76,Law,2,1,2,9,4,56500.0,3,2,5
27,Female,2.63,738,2.13,Mathematics,2,5,1,3,4,44800.0,3,3,2
29,Male,2.85,864,2.13,Law,3,5,8,8,3,71800.0,9,2,10
25,Female,2.62,500,2.09,Law,3,1,7,4,4,64500.0,2,1,6
28,Other,2.56,70,2.82,Computer Science,3,0,10,7,4,39000.0,4,2,10
23,Male,3.94,694,3.44,Law,0,2,2,10,1,37300.0,3,5,8
25,Female,2.31,865,2.41,Engineering,1,1,8,10,1,49200.0,7,4,7
26,Female,3.47,776,3.29,Business,1,1,10,8,3,63500.0,6,4,5
21,Other,2.0,370,3.37,Computer Science,3,0,3,3,4,35400.0,9,2,3
18,Male,3.19,181,2.51,Medicine,2,0,7,3,5,52000.0,8,5,4
18,Female,3.83,996,3.2,Engineering,1,3,1,1,0,63600.0,2,5,2
27,Male,2.58,5,3.37,Computer Science,4,2,3,8,3,46300.0,3,4,6
21,Male,2.37,197,2.93,Business,0,0,9,2,5,54200.0,1,3,8
29,Male,3.3,47,2.67,Medicine,2,1,4,7,1,57300.0,8,3,8
24,Other,3.43,970,3.24,Business,0,0,1,7,0,61300.0,2,5,9
19,Female,3.38,552,3.96,Business,4,4,6,7,5,51200.0,4,1,5
20,Female,2.64,634,2.85,Medicine,1,3,1,4,5,48100.0,2,1,10
18,Female,2.5,647,2.78,Law,0,3,10,7,4,65200.0,2,1,6
22,Male,3.91,140,2.93,Arts,0,5,1,10,3,25000.0,3,1,2
18,Male,3.85,862,2.15,Business,0,2,2,8,3,62900.0,10,1,10
25,Male,2.91,665,3.11,Law,4,3,3,9,1,58800.0,5,4,4
18,Male,3.69,540,2.66,Mathematics,2,2,2,7,2,72900.0,8,5,3
28,Male,2.9,427,2.24,Medicine,2,4,8,6,2,58600.0,10,2,9
18,Male,2.85,589,2.93,Business,4,5,6,5,2,34400.0,2,4,6
19,Male,2.31,687,2.01,Arts,0,1,1,10,3,51500.0,5,4,6
19,Male,2.85,561,2.8,Mathematics,0,4,6,10,1,35300.0,4,5,4
29,Male,3.07,854,2.21,Medicine,3,2,1,7,1,67200.0,3,3,6
23,Male,2.05,310,2.05,Computer Science,1,2,9,10,2,25000.0,10,4,1
24,Other,2.89,274,3.65,Computer Science,1,2,3,2,0,26000.0,6,4,9
22,Female,3.56,539,3.83,Law,2,1,1,5,2,32000.0,9,2,3
18,Other,3.36,840,2.42,Computer Science,4,5,1,8,3,25600.0,8,1,5
18,Male,3.27,390,3.08,Engineering,0,5,2,6,0,45100.0,2,4,7
20,Male,3.82,459,2.56,Business,1,2,6,6,1,43700.0,1,1,2
19,Female,2.04,733,2.99,Business,4,4,1,1,4,62400.0,8,5,4
22,Male,3.11,634,2.87,Medicine,4,5,7,2,5,25000.0,5,4,6
29,Male,3.57,361,2.54,Engineering,0,1,4,3,0,42000.0,2,2,1
27,Male,3.08,69,3.4,Business,4,4,7,7,1,53900.0,10,2,6
23,Male,2.65,583,2.25,Medicine,1,1,4,10,0,36000.0,1,5,5
24,Male,2.27,662,2.11,Arts,3,2,4,6,2,25200.0,8,1,2
21,Male,3.78,699,3.54,Business,1,5,4,5,0,60600.0,8,3,6
24,Female,2.94,431,3.33,Law,3,1,10,9,0,58500.0,6,5,5
28,Male,3.76,885,3.0,Business,4,0,10,10,0,25000.0,5,3,1
25,Male,3.17,758,2.94,Arts,1,4,8,7,3,43600.0,5,2,6
28,Female,3.35,708,2.99,Arts,0,0,2,9,5,40800.0,6,2,7
18,Male,3.61,32,2.87,Business,4,0,8,3,3,77200.0,5,4,9
23,Male,3.32,979,2.79,Arts,0,2,10,8,5,25000.0,2,2,2
25,Female,2.8,621,3.0,Medicine,3,2,1,9,2,43300.0,7,1,6
22,Male,3.03,865,3.06,Business,2,0,7,2,4,61400.0,4,2,6
21,Male,3.61,513,3.38,Business,2,1,7,4,3,48200.0,7,4,1
19,Female,2.75,182,3.42,Computer Science,3,2,6,2,4,66100.0,1,5,8
23,Male,2.78,686,2.76,Law,2,4,4,7,3,25000.0,6,4,5
23,Female,2.19,681,2.83,Business,4,0,5,4,1,30700.0,2,5,2
28,Female,3.83,248,2.75,Mathematics,4,4,1,6,1,45300.0,3,4,5
18,Male,2.18,620,3.07,Computer Science,1,5,2,8,0,57300.0,3,2,4
26,Female,3.3,882,2.91,Arts,4,4,10,6,4,50100.0,10,3,7
29,Female,2.83,297,3.78,Law,2,4,7,4,0,59200.0,1,1,10
28,Male,2.81,776,3.39,Law,0,0,2,6,5,44900.0,5,3,8
23,Female,3.36,928,3.8,Arts,1,3,8,1,0,30400.0,8,1,1
20,Male,2.13,30,3.42,Medicine,0,5,7,6,3,58300.0,8,2,1
21,Female,3.19,302,3.94,Computer Science,2,2,10,10,3,27000.0,10,4,8
29,Male,3.54,476,3.27,Business,0,4,8,8,0,35500.0,7,4,4
28,Male,3.66,873,3.93,Computer Science,2,0,4,4,5,29500.0,7,5,8
21,Male,2.34,948,2.32,Arts,4,3,1,9,3,52700.0,8,3,7
20,Female,3.79,352,2.1,Arts,1,0,7,6,5,48800.0,8,1,9
27,Male,3.31,985,3.16,Mathematics,3,2,1,6,1,32900.0,5,4,7
20,Male,3.76,482,3.97,Medicine,2,0,7,4,1,38100.0,7,2,4
20,Male,2.97,317,2.84,Law,4,1,9,8,4,44700.0,2,4,5
21,Female,3.08,737,2.42,Law,0,5,5,5,1,59500.0,4,5,7
24,Female,3.84,397,3.04,Arts,4,1,2,1,5,50400.0,6,4,2
21,Female,3.8,89,3.3,Computer Science,0,4,1,7,0,54300.0,10,2,3
26,Female,2.9,234,2.63,Law,0,0,8,8,2,56500.0,3,4,3
18,Female,2.55,168,3.43,Mathematics,0,0,4,6,3,49700.0,2,1,9
25,Male,2.79,743,3.95,Mathematics,0,4,8,7,0,53200.0,1,1,2
24,Female,2.78,126,3.79,Business,1,4,2,7,3,47900.0,4,4,4
19,Female,2.57,573,2.58,Business,0,5,3,4,4,72100.0,2,2,8
25,Other,2.54,120,2.65,Computer Science,1,3,3,4,0,57900.0,3,2,1
18,Female,3.72,428,2.74,Medicine,3,0,4,1,0,77500.0,10,4,9
28,Male,2.14,190,2.79,Business,1,2,9,2,0,69000.0,6,2,6
29,Male,3.36,633,2.2,Computer Science,0,2,9,3,4,47000.0,10,1,4
26,Female,2.35,428,3.52,Computer Science,3,2,5,5,0,47000.0,3,1,5
26,Female,2.69,560,2.73,Arts,4,4,7,10,3,25100.0,3,1,7
19,Female,2.12,202,3.76,Law,1,4,9,9,2,33400.0,4,5,8
24,Female,2.54,59,3.85,Arts,4,4,1,5,0,65100.0,3,3,5
27,Female,3.54,697,2.05,Law,3,2,2,6,4,64400.0,6,1,7
20,Male,3.77,223,3.98,Medicine,1,3,6,7,4,25000.0,9,4,3
24,Female,2.44,492,3.42,Medicine,0,5,3,4,0,69700.0,8,5,2
29,Male,2.93,11,3.04,Medicine,1,1,7,8,4,67800.0,2,4,2
27,Male,2.94,793,2.78,Computer Science,0,0,5,6,1,66800.0,3,2,10
26,Male,3.75,701,3.04,Computer Science,2,1,10,1,5,57700.0,8,3,3
21,Female,3.53,512,2.65,Arts,1,0,8,6,4,57600.0,3,5,6
29,Male,3.03,814,3.25,Business,1,4,1,2,2,47200.0,5,2,10
18,Male,3.34,310,2.19,Mathematics,4,2,9,4,1,40500.0,9,2,1
19,Female,3.69,749,3.24,Law,4,1,10,4,3,67000.0,2,1,3
18,Male,2.02,34,2.55,Law,3,4,6,10,1,46100.0,9,4,3
29,Female,2.81,340,2.04,Medicine,0,0,5,10,2,25000.0,10,2,2
22,Female,3.81,647,3.11,Law,4,5,8,5,5,59300.0,5,2,1
22,Female,3.48,481,3.16,Engineering,3,5,4,10,1,34200.0,9,2,1
28,Female,3.09,574,2.85,Medicine,0,1,9,2,0,52300.0,4,3,1
24,Male,3.06,825,2.14,Mathematics,0,1,5,6,4,74900.0,8,5,8
26,Female,2.7,739,3.79,Law,0,1,1,3,0,81500.0,8,1,6
26,Male,3.04,93,3.22,Arts,2,1,8,9,0,60400.0,3,5,9
20,Female,3.31,628,2.23,Law,0,1,9,6,0,69700.0,5,2,3
20,Male,2.84,844,3.02,Computer Science,3,4,5,3,1,61200.0,10,3,7
20,Female,3.43,133,2.99,Arts,0,0,5,3,3,62100.0,1,2,6
21,Male,3.72,844,2.12,Arts,0,0,6,5,5,63800.0,6,4,9
25,Male,2.31,989,3.21,Arts,3,3,9,6,4,34000.0,9,5,9
23,Male,2.9,419,3.62,Engineering,1,2,5,4,1,30800.0,1,1,9
25,Male,2.82,468,3.5,Engineering,0,5,2,5,5,65200.0,2,3,7
18,Female,3.37,805,2.41,Law,3,1,3,3,0,54600.0,7,5,9
25,Male,2.5,444,3.72,Medicine,4,5,10,10,2,52400.0,6,2,7
21,Female,3.28,705,2.69,Law,3,0,3,4,2,42900.0,10,1,9
28,Other,3.75,912,3.89,Law,2,2,9,8,0,44600.0,3,3,2
18,Female,2.84,30,2.14,Law,4,2,8,8,3,68900.0,2,2,2
25,Male,3.82,969,2.97,Mathematics,1,4,6,1,5,37300.0,7,2,7
21,Male,3.99,298,3.19,Computer Science,1,1,5,4,4,50200.0,10,5,10
23,Female,2.21,61,2.5,Arts,3,3,10,2,5,38200.0,10,2,6
25,Male,2.47,458,3.54,Business,3,2,2,4,1,26700.0,5,2,6
21,Male,3.9,973,3.25,Mathematics,0,4,9,5,3,51600.0,6,3,5
20,Female,3.92,304,2.04,Medicine,0,1,10,1,2,61100.0,9,2,1
26,Female,2.2,958,3.22,Medicine,2,0,8,5,0,34100.0,7,4,7
20,Female,2.03,340,2.98,Arts,0,3,5,7,1,39300.0,4,4,2
26,Male,2.32,861,2.39,Medicine,3,1,6,5,3,32200.0,9,1,8
19,Female,3.99,448,3.99,Arts,3,4,9,7,5,52000.0,3,4,10
19,Male,2.36,953,3.79,Medicine,0,5,1,9,3,42700.0,4,4,7
19,Male,3.01,836,2.59,Law,2,4,4,8,3,25000.0,10,5,2
23,Female,3.7,302,3.08,Computer Science,3,4,5,1,5,44700.0,3,4,2
20,Male,2.04,881,2.63,Mathematics,2,4,9,10,1,65600.0,10,2,10
26,Male,3.21,540,3.55,Mathematics,3,4,5,10,4,67400.0,3,5,8
21,Male,2.55,485,3.86,Medicine,2,3,5,2,5,68100.0,1,4,5
18,Female,3.72,77,2.72,Mathematics,2,2,3,6,1,35100.0,5,2,8
21,Female,2.57,633,3.61,Medicine,2,2,8,5,5,32200.0,4,1,1
18,Female,3.37,515,3.0,Business,0,0,7,1,0,40300.0,9,5,9
22,Female,3.35,549,2.79,Mathematics,1,2,8,2,1,64600.0,4,2,8
21,Male,2.44,944,3.88,Computer Science,2,4,4,3,3,64100.0,3,5,6
25,Male,2.07,659,3.02,Mathematics,2,2,8,10,4,50000.0,6,1,8
25,Male,2.82,92,2.93,Law,3,5,10,5,4,66800.0,10,1,1
24,Male,2.58,851,3.34,Computer Science,1,5,4,7,0,59100.0,5,5,8
20,Female,3.62,785,2.52,Mathematics,3,2,1,6,0,42800.0,4,2,1
18,Female,3.6,466,2.65,Computer Science,3,4,4,3,2,44800.0,1,3,4
18,Male,2.91,466,3.86,Mathematics,2,3,5,6,2,31000.0,3,5,10
29,Male,3.21,889,3.36,Medicine,4,4,10,4,2,48100.0,4,3,3
